11:58:23.709 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1225791 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/comput/comput3/COMPUT3/target/COMPUT3-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/comput/comput3/COMPUT3)
11:58:23.715 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
11:58:25.396 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 2.774 seconds (process running for 3.791)
11:58:25.417 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
11:58:25.600 [main] INFO  com.cloudframe.app.process.Comput3.process   69 - -----------------------
11:58:25.606 [main] INFO  com.cloudframe.app.process.Comput3.process   86 - WV-TEMP-VOLUME *D* = 0.158957240500000000
11:58:25.607 [main] INFO  com.cloudframe.app.process.Comput3.process   89 - WV-TEMP-VOLUME *F* = 19624350.5200460779777000000000
11:58:25.609 [main] INFO  com.cloudframe.app.process.Comput3.process   93 - WV-UNSIGNED-VOLUME = 1962435052005
11:58:25.609 [main] INFO  com.cloudframe.app.process.Comput3.process  104 - DEXR001-TARGET-QTY = 196243505200
11:58:25.610 [main] INFO  com.cloudframe.app.process.Comput3.process  106 - -----------------------
11:58:25.611 [main] INFO  com.cloudframe.app.process.Comput3.process  123 - WV-TEMP-VOLUME *D* = 0.158957240500000000
11:58:25.612 [main] INFO  com.cloudframe.app.process.Comput3.process  126 - WV-TEMP-VOLUME *F* = 14306.1516450000000000000000
11:58:25.613 [main] INFO  com.cloudframe.app.process.Comput3.process  130 - WV-UNSIGNED-VOLUME = 1430615164
11:58:25.614 [main] INFO  com.cloudframe.app.process.Comput3.process  142 - DEXR001-TARGET-QTY = 143061516
11:58:25.614 [main] INFO  com.cloudframe.app.process.Comput3.process  144 - -----------------------
11:58:25.614 [main] INFO  com.cloudframe.app.process.Comput3.process  161 - WV-TEMP-VOLUME *D* = 0.158957240500000000
11:58:25.615 [main] INFO  com.cloudframe.app.process.Comput3.process  164 - WV-TEMP-VOLUME *F* = 49999.9999992750000000000000
11:58:25.616 [main] INFO  com.cloudframe.app.process.Comput3.process  168 - WV-UNSIGNED-VOLUME = 5000000000
11:58:25.617 [main] INFO  com.cloudframe.app.process.Comput3.process  179 - DEXR001-TARGET-QTY = 500000000
