06:51:54.772 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 3246028 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/comput/mdsnum/MDSNUM/target/MDSNUM-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/comput/mdsnum/MDSNUM)
06:51:54.780 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
06:51:57.073 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 3.4 seconds (process running for 4.272)
06:51:57.098 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
06:51:57.231 [main] INFO  com.cloudframe.app.process.Mdsnum.process  154 - WS-AMTD0:           2,856.54
06:51:57.232 [main] INFO  com.cloudframe.app.process.Mdsnum.process  156 - WS-AMTD1:           2,856.54
06:51:57.233 [main] INFO  com.cloudframe.app.process.Mdsnum.process  158 - WS-AMTD2:           2,856.54
06:51:57.234 [main] INFO  com.cloudframe.app.process.Mdsnum.process  160 - WS-AMTD3:           2,856.54
06:51:57.235 [main] INFO  com.cloudframe.app.process.Mdsnum.process  162 - WS-AMTD4:           2,856.54
06:51:57.235 [main] INFO  com.cloudframe.app.process.Mdsnum.process  164 - WS-AMTD5:           2,856.54
06:51:57.236 [main] INFO  com.cloudframe.app.process.Mdsnum.process  166 - WS-AMTD6:           2,856.54
06:51:57.236 [main] INFO  com.cloudframe.app.process.Mdsnum.process  168 - WS-AMTD7:           2,856.54
06:51:57.237 [main] INFO  com.cloudframe.app.process.Mdsnum.process  173 - WS-AMTE6 :         0.500000
06:51:57.239 [main] INFO  com.cloudframe.app.process.Mdsnum.process  178 - WS-AMTDT46 :              3051.820000
