07:06:35.788 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1315639 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/condition/EVALUAT1/EVALUAT1/target/EVALUAT1-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/condition/EVALUAT1/EVALUAT1)
07:06:35.792 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
07:06:36.879 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 1.766 seconds (process running for 2.37)
07:06:36.890 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
07:06:36.951 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* jan --> 01
07:06:36.951 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* feb --> 02
07:06:36.952 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* mar --> 03
07:06:36.952 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* apr --> 04
07:06:36.952 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* may --> 05
07:06:36.952 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* jun --> 06
07:06:36.952 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* jul --> 07
07:06:36.953 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* aug --> 08
07:06:36.953 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* sep --> 09
07:06:36.953 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* oct --> 10
07:06:36.953 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* nov --> 11
07:06:36.953 [main] INFO  com.cloudframe.app.process.Evaluat1.mainRoutine  150 - *  1* dec --> 12
