12:02:05.351 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1242568 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/db2/DBROWSET/DBROWSET/target/DBROWSET-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/db2/DBROWSET/DBROWSET)
12:02:05.364 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
12:02:06.902 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 165 - CFDataSourceConfiguration initialization status...
12:02:06.903 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 172 - Databse Datasource initialized.
12:02:07.086 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 2.938 seconds (process running for 3.964)
12:02:07.098 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
12:02:07.469 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 109 - HikariPool-1 - Starting...
12:02:07.904 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast 554 - HikariPool-1 - Added connection com.ibm.db2.jcc.t4.b@2dc3271b
12:02:07.911 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 122 - HikariPool-1 - Start completed.
12:02:08.135 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000606306                     ** B0704T9  ** RIBH.VI   
12:02:08.136 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000612601                     ** B067M97  ** ICEL.VI   
12:02:08.136 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000642806                     ** 7733967  ** IMEA.VI   
12:02:08.136 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000652011                     ** 5289837  ** ERST.VI   
12:02:08.136 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000720008                     ** 4635088  ** TELA.VI   
12:02:08.137 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000730007                     ** B1WVF68  ** ANDR.VI   
12:02:08.137 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000743059                     ** 4651459  ** OMVV.VI   
12:02:08.137 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000746409                     ** 4661607  ** VERB.VI   
12:02:08.137 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000831706                     ** 5699373  ** WBSV.VI   
12:02:08.138 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000908504                     ** B0BKSS2  ** VIGR.VI   
12:02:08.138 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - AT0000937503                     ** 4943402  ** VOES.VI   
12:02:08.138 [main] INFO  com.cloudframe.app.process.Dbrowset.fetchRows 190 - BE0003470755                     ** 4821100  ** SOLB.BR   
