10:59:50.684 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1175417 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/db2/DBROWST2/DBROWST2/target/DBROWST2-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/db2/DBROWST2/DBROWST2)
10:59:50.695 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
10:59:53.012 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 165 - CFDataSourceConfiguration initialization status...
10:59:53.014 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 172 - Databse Datasource initialized.
10:59:53.201 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 3.562 seconds (process running for 4.954)
10:59:53.211 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
10:59:53.499 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 109 - HikariPool-1 - Starting...
10:59:53.925 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast 554 - HikariPool-1 - Added connection com.ibm.db2.jcc.t4.b@3a37a501
10:59:53.930 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 122 - HikariPool-1 - Start completed.
10:59:54.110 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000606306 ** B0704T9  ** RIBH.VI   
10:59:54.111 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000612601 ** B067M97  ** ICEL.VI   
10:59:54.111 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000642806 ** 7733967  ** IMEA.VI   
10:59:54.111 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000652011 ** 5289837  ** ERST.VI   
10:59:54.112 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000720008 ** 4635088  ** TELA.VI   
10:59:54.112 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000730007 ** B1WVF68  ** ANDR.VI   
10:59:54.113 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000743059 ** 4651459  ** OMVV.VI   
10:59:54.113 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000746409 ** 4661607  ** VERB.VI   
10:59:54.113 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000831706 ** 5699373  ** WBSV.VI   
10:59:54.113 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000908504 ** B0BKSS2  ** VIGR.VI   
10:59:54.114 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - AT0000937503 ** 4943402  ** VOES.VI   
10:59:54.114 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003470755 ** 4821100  ** SOLB.BR   
10:59:54.114 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003562700 ** 4262118  ** DELB.BR   
10:59:54.114 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003565737 ** 4497749  ** KBC.BR    
10:59:54.115 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003593044 ** 4177988  ** COFB.BR   
10:59:54.115 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003678894 ** 4082628  ** BEFB.BR   
10:59:54.115 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003717312 ** 4820301  ** SOF.BR    
10:59:54.116 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003735496 ** 5541979  ** MSTAR.BR  
10:59:54.116 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003739530 ** 5596991  ** UCB.BR    
10:59:54.117 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - BE0003764785 ** 5715774  ** ACKB.BR   
