08:23:44.126 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 4139989 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/mastercard/MC082/MC082/target/MC082-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/mastercard/MC082/MC082)
08:23:44.134 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
08:23:45.561 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 2.749 seconds (process running for 3.91)
08:23:45.574 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
08:23:45.731 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.732 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000002BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.733 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000003CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.733 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000004AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.734 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000005BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.735 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000006CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.735 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000007AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.736 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000008BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.736 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000009CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.737 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000010AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.737 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000011BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.738 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000012CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.738 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000013AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.739 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000014BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.739 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000015CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.740 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000016AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.740 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000017BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.741 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000018CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.741 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000019AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.742 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000020BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.742 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000021CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.743 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000022AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.743 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000023BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.744 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000024CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.744 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000025AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.745 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000026BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.745 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000027CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.746 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000028AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.746 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000029BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.747 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000030CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.747 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000031AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
08:23:45.748 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000032BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB          
08:23:45.748 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000033CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC          
08:23:45.748 [main] INFO  com.cloudframe.app.process.Mc082.main  115 - 000034AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA          
