07:31:24.493 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 4123040 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CALLDRVR/CALLDRVR/target/CALLDRVR-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CALLDRVR/CALLDRVR)
07:31:24.498 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
07:31:25.508 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 1.675 seconds (process running for 2.508)
07:31:25.519 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
07:31:25.595 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  171 - >>> BEFORE CALLING CALLPRM1 >>>
07:31:25.596 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  173 -     CLOUDFRM
07:31:25.596 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  176 -     1234
07:31:25.596 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  179 -     1234
07:31:25.596 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  182 -     ABCDEFGH
07:31:25.597 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  185 -     2345
07:31:25.597 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  188 -     2345
07:31:25.597 [main] INFO  com.cloudframe.app.process.Callprm1.mainline  119 - >>> IN CALLPRM1 
07:31:25.597 [main] INFO  com.cloudframe.app.process.Callprm1.mainline  121 -     LS-PARM1 = CLOUDFRM
07:31:25.598 [main] INFO  com.cloudframe.app.process.Callprm1.mainline  123 -     LS-PARM2 = 1234
07:31:25.598 [main] INFO  com.cloudframe.app.process.Callprm1.mainline  125 -     LS-PARM3 = 1234
07:31:25.598 [main] INFO  com.cloudframe.app.process.Callprm1.mainline  127 -     LS-PARM4 = ABCDEFGH
07:31:25.598 [main] INFO  com.cloudframe.app.process.Callprm1.mainline  129 -     LS-PARM5 = 2345
07:31:25.598 [main] INFO  com.cloudframe.app.process.Callprm1.mainline  131 -     LS-PARM6 = 2345
07:31:25.599 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  197 - >>> AFTER  CALLING CALLPRM1 >>>
07:31:25.599 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  199 -     CLOUDFRM
07:31:25.599 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm1  202 -     1234
