07:19:26.889 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1369792 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02/target/CFDATE02-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02)
07:19:26.895 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
07:19:28.383 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 2.294 seconds (process running for 3.446)
07:19:28.400 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
07:19:28.509 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20180623
07:19:28.510 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20180323
07:19:28.511 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20171221
07:19:28.511 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20170920
07:19:28.512 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20170620
07:19:28.512 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20170320
07:19:28.512 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20161218
07:19:28.513 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20160917
07:19:28.513 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20160617
07:19:28.513 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20160317
07:19:28.513 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20151216
07:19:28.514 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20150915
07:19:28.514 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20150615
07:19:28.514 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20150315
07:19:28.515 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20141213
07:19:28.515 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20140912
07:19:28.515 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20140612
07:19:28.515 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20140312
07:19:28.516 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20131210
07:19:28.516 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20130909
07:19:28.516 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20130609
07:19:28.517 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20130309
07:19:28.517 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20121207
07:19:28.517 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20120906
07:19:28.517 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20120606
07:19:28.518 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20120306
07:19:28.518 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20111205
07:19:28.518 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20110904
07:19:28.518 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20110604
07:19:28.519 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20110304
07:19:28.519 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20101202
07:19:28.519 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20100901
07:19:28.519 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20100601
07:19:28.520 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20100301
07:19:28.520 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20091129
07:19:28.520 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20090829
07:19:28.520 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20090529
07:19:28.521 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20090226
07:19:28.521 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20081126
07:19:28.521 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20080826
07:19:28.521 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20080526
07:19:28.522 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20080224
07:19:28.522 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20071124
07:19:28.522 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20070824
07:19:28.522 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20070524
07:19:28.522 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20070221
07:19:28.523 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20061121
07:19:28.523 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20060821
07:19:28.523 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20060521
07:19:28.523 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20060218
07:19:28.524 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20051118
07:19:28.524 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20050818
07:19:28.524 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20050518
07:19:28.524 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20050215
07:19:28.524 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20041115
07:19:28.525 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20040815
07:19:28.525 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20040515
07:19:28.525 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20040213
07:19:28.525 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20031113
07:19:28.526 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20030813
07:19:28.526 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20030513
07:19:28.526 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20030210
07:19:28.527 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20021110
07:19:28.527 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20020810
07:19:28.527 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20020510
07:19:28.527 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20020207
07:19:28.527 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20011107
07:19:28.528 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20010807
07:19:28.528 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20010507
07:19:28.528 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20010204
07:19:28.528 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20001104
07:19:28.529 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20000804
07:19:28.529 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20000504
07:19:28.529 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 20000202
07:19:28.529 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19991102
07:19:28.529 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19990802
07:19:28.530 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19990502
07:19:28.530 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19990130
07:19:28.530 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19981030
07:19:28.530 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19980730
07:19:28.530 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19980429
07:19:28.531 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19980127
07:19:28.531 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19971027
07:19:28.531 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19970727
07:19:28.531 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19970426
07:19:28.531 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19970124
07:19:28.532 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19961024
07:19:28.532 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19960724
07:19:28.532 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19960423
07:19:28.532 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19960122
07:19:28.533 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19951022
07:19:28.533 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19950722
07:19:28.533 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19950421
07:19:28.533 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19950119
07:19:28.533 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19941019
07:19:28.534 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19940719
07:19:28.534 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19940418
07:19:28.534 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19940116
07:19:28.534 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19931016
07:19:28.534 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19930716
07:19:28.534 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19930415
07:19:28.535 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19930113
07:19:28.535 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19921013
07:19:28.535 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19920713
07:19:28.535 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19920412
