   _____   _                       _   ______                                       
  / ____| | |                     | | |  ____|                                     
 | |      | |   ___    _   _    __| | | |__     _ __    __ _   _ __ ___     ___    
 | |      | |  / _ \  | | | |  / _` | |  __|   | '__|  / _` | | '_ ` _ \   / _ \
 | |____  | | | (_) | | |_| | | (_| | | |      | |    | (_| | | | | | | | |  __/
  \_____| |_|  \___/   \__,_|  \__,_| |_|      |_|     \__,_| |_| |_| |_|  \___|

16:43:57.319 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 2522117 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02/target/CFDATE02-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02)
16:43:57.323 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
16:43:58.988 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 3.342 seconds (process running for 4.525)
16:43:59.013 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
16:43:59.975 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20180623
16:43:59.976 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20180323
16:43:59.978 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20171221
16:43:59.979 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20170920
16:43:59.980 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20170620
16:43:59.981 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20170320
16:43:59.981 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20161218
16:43:59.981 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20160917
16:43:59.982 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20160617
16:43:59.982 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20160317
16:43:59.983 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20151216
16:43:59.983 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20150915
16:43:59.983 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20150615
16:43:59.984 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20150315
16:43:59.984 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20141213
16:43:59.984 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20140912
16:43:59.985 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20140612
16:43:59.985 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20140312
16:43:59.986 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20131210
16:43:59.986 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20130909
16:43:59.986 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20130609
16:43:59.987 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20130309
16:43:59.987 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20121207
16:43:59.988 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20120906
16:43:59.988 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20120606
16:43:59.988 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20120306
16:43:59.989 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20111205
16:43:59.989 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20110904
16:43:59.989 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20110604
16:43:59.990 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20110304
16:43:59.990 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20101202
16:43:59.990 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20100901
16:43:59.991 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20100601
16:43:59.991 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20100301
16:43:59.991 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20091129
16:43:59.992 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20090829
16:43:59.992 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20090529
16:43:59.992 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20090226
16:43:59.993 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20081126
16:43:59.993 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20080826
16:43:59.993 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20080526
16:43:59.994 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20080224
16:43:59.994 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20071124
16:43:59.994 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20070824
16:43:59.995 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20070524
16:43:59.995 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20070221
16:43:59.995 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20061121
16:43:59.996 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20060821
16:43:59.996 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20060521
16:43:59.996 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20060218
16:43:59.996 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20051118
16:43:59.997 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20050818
16:43:59.997 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20050518
16:43:59.997 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20050215
16:43:59.997 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20041115
16:43:59.998 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20040815
16:43:59.998 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20040515
16:43:59.998 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20040213
16:43:59.998 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20031113
16:43:59.998 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20030813
16:43:59.999 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20030513
16:43:59.999 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20030210
16:44:00.000 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20021110
16:44:00.000 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20020810
16:44:00.000 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20020510
16:44:00.001 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20020207
16:44:00.001 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20011107
16:44:00.002 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20010807
16:44:00.002 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20010507
16:44:00.002 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20010204
16:44:00.002 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20001104
16:44:00.003 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20000804
16:44:00.003 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20000504
16:44:00.003 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 20000202
16:44:00.004 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19991102
16:44:00.004 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19990802
16:44:00.005 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19990502
16:44:00.005 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19990130
16:44:00.005 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19981030
16:44:00.006 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19980730
16:44:00.006 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19980429
16:44:00.006 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19980127
16:44:00.007 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19971027
16:44:00.007 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19970727
16:44:00.007 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19970426
16:44:00.008 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19970124
16:44:00.008 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19961024
