07:14:00.697 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1346091 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/READVB01/READVB01/target/READVB01-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/READVB01/READVB01)
07:14:00.713 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
07:14:03.732 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 5.044 seconds (process running for 5.953)
07:14:03.768 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
07:14:03.984 [main] INFO  com.cloudframe.app.process.Readvb01.mainline 119 - Folling are the rows read back from VB file:
07:14:03.985 [main] INFO  com.cloudframe.app.process.Readvb01.mainline 121 - --------------------------------------------
07:14:03.989 [main] INFO  com.cloudframe.app.process.Readvb01.mainline 143 - RECORD LENGTH = 43
07:14:03.990 [main] INFO  com.cloudframe.app.process.Readvb01.mainline 145 - <A><B>SOME DATA </B><C>ANOTHER DATA</C></A>
07:14:03.991 [main] INFO  com.cloudframe.app.process.Readvb02.mainline 104 - RECORD LENGTH = 60
07:14:03.992 [main] INFO  com.cloudframe.app.process.Readvb02.mainline 106 - <A1><B1> LARGER TEXT MESSAGE </B1><C1>ANOTHER DATA </C1></A>
07:14:03.993 [main] INFO  com.cloudframe.app.process.Readvb01.mainline 143 - RECORD LENGTH = 79
07:14:03.993 [main] INFO  com.cloudframe.app.process.Readvb01.mainline 145 - <SOMETHING> SOME ELEMENT GOEHERE <INNER> SOMETHING GOES HERE</INNER><SOMETHING>
