10:05:18.400 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1591905 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort/cfsort14_198/SORTTBL/target/SORTTBL-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort/cfsort14_198/SORTTBL)
10:05:18.412 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
10:05:21.409 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 4.914 seconds (process running for 6.052)
10:05:21.433 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
10:05:21.592 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  186 - >>>>>>>
10:05:21.592 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  188 -  
10:05:21.593 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  190 - SORTED TABLE (NO DUPLICATES)
10:05:21.593 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  192 -  
10:05:21.594 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0025672015092053I
10:05:21.594 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0027632020101177I
10:05:21.594 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0030622020042387I
10:05:21.594 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0054972019030592A
10:05:21.595 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0065022020051793I
10:05:21.595 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0075242016121666A
10:05:21.595 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0094172016021993I
10:05:21.596 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0097912015121213I
10:05:21.596 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0119502019122544I
10:05:21.596 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0127822015100277I
10:05:21.596 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0140422019061648I
10:05:21.597 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0157502017091963A
10:05:21.597 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0159012015042744A
10:05:21.597 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0162612017040986I
10:05:21.598 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0203212017101284I
10:05:21.598 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0217792020042227A
10:05:21.599 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0287692016071723A
10:05:21.599 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0308292020110580A
10:05:21.599 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0332942019120943I
10:05:21.599 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0342182018022713I
10:05:21.600 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0374302019081522A
10:05:21.600 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0410592018051978I
10:05:21.600 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0426552020091115A
10:05:21.600 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0444562015062283A
10:05:21.601 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0486692020081532I
10:05:21.601 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0510892015121316A
10:05:21.601 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0599682020091242A
10:05:21.601 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0608882017121390A
10:05:21.602 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0689132019110613I
10:05:21.602 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0751782016072749A
10:05:21.602 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0785262017021196I
10:05:21.602 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0818932019072457I
10:05:21.602 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0832132016042096A
10:05:21.603 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0835862016061425A
10:05:21.603 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0841602019082789A
10:05:21.603 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0890552020021948I
10:05:21.604 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0906912019061475I
10:05:21.604 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0911262019011098A
10:05:21.605 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0920552019081445I
10:05:21.605 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0921072016122082I
10:05:21.605 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0921632016041915I
10:05:21.605 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0954862017041668I
10:05:21.606 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0986752016030432I
10:05:21.606 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0990292020020585A
10:05:21.606 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1014712016081492I
10:05:21.606 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1048072019102171A
10:05:21.607 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1081912015042752A
10:05:21.607 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1094532017111398I
10:05:21.607 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1135402019102856A
10:05:21.607 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1154352017030253A
10:05:21.608 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1156272020061519I
10:05:21.608 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1179982020112085I
10:05:21.608 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1187682015041399A
10:05:21.608 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1268012019101031A
10:05:21.609 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1318892018042449I
10:05:21.609 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1328902017042896I
10:05:21.610 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1344862016042179A
10:05:21.610 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1421072020010112A
10:05:21.611 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1435522015021076I
10:05:21.611 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1556032020121830A
10:05:21.611 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1556962018042599A
10:05:21.611 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1576102018041587I
10:05:21.612 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1576812020042320I
10:05:21.612 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1583742019020996A
10:05:21.612 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1591422017120114I
10:05:21.613 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1631962018081594I
10:05:21.613 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1651802015011885A
10:05:21.613 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1712082018011188A
10:05:21.613 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1729482017110182A
10:05:21.613 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1730962020062086A
10:05:21.614 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1758052016110121A
10:05:21.614 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1764152017060135A
10:05:21.614 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1793042015022726I
10:05:21.614 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1853612015111391I
10:05:21.615 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1918492016072462I
10:05:21.615 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1926692017021236A
10:05:21.616 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1938432020021954A
10:05:21.616 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1999622018121390A
10:05:21.616 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2041182017101652I
10:05:21.617 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2075292019071669I
10:05:21.617 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2122062015040330I
10:05:21.617 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2135032015091673I
10:05:21.617 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2154412016040597I
10:05:21.617 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2190982019030585A
10:05:21.618 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2222082018080542A
10:05:21.618 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2223382020051813I
10:05:21.618 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2231792015042371A
10:05:21.618 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2242062017010513I
10:05:21.618 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2244002018072790A
10:05:21.618 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2267632019050874A
10:05:21.619 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2268112016032247I
10:05:21.619 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2278132016010974A
10:05:21.619 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2312852019121595A
10:05:21.619 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2337192018072517A
10:05:21.619 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2351452019062722I
10:05:21.620 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2352732016042863I
10:05:21.620 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2390722019051758A
10:05:21.620 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 2394382019031544I
