11:59:58.114 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1233008 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort10_189/MCSORT02/target/MCSORT02-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort10_189/MCSORT02)
11:59:58.124 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
12:00:00.872 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 4.015 seconds (process running for 5.09)
12:00:00.909 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
12:00:00.991 [main] INFO  c.c.a.u.d.plus.CFDcioConfiguration.cfDataConnectIOPlusInfo   28 - CFDataConnectIOPlus version : 5.0.0.21
12:00:01.208 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  214 -  
12:00:01.208 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  216 - >>>>>> PROCESSING >>>>>>SYS004  
12:00:01.209 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  218 -  
12:00:01.894 [main] INFO  c.c.app.sort.SpringAsyncConfig.threadPoolTaskExecutor   73 - Thread pool created based on usableMemory 19090385588 requiredByteForEachThread 40000000 with core pool size 20 max pool size 40
12:00:01.909 [main] INFO  com.cloudframe.app.process.Mcsort02.sortSys004  608 - Start reading SORT INPUT file Information ...
12:00:02.007 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.decideSortStrategy  117 - Calculated details for strategy decider fileSize 9110146 noOfRecords 278 fileSizeWithOverHead 9137582 keysSizeInBytes 34750 fileSizeWithKeysAndRecords9142672
12:00:02.081 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.getStrategy  221 - Strategy to be adopted is IN_MEMORY
12:00:02.082 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.decideSortStrategy  124 - APPLYING INMEMORY STRATEGY
12:00:02.084 [main] INFO  com.cloudframe.app.process.Mcsort02.sortSys004  612 - Start process SORT using fetched SORT keys...
12:00:02.180 [main] INFO  com.cloudframe.app.process.Mcsort02.sortSys004  615 - Start process the sorted record to GIVING out file...
12:00:02.482 [main] INFO  com.cloudframe.app.process.Mcsort02.sortSys004  618 - SORT process using file strategy ends.
12:00:02.710 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  242 -  
12:00:02.710 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  244 - <<<<<< FINSISHED  <<<<<<
12:00:02.711 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  246 -  
