12:00:42.215 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1236019 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort14_198/SORTTBL/target/SORTTBL-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort14_198/SORTTBL)
12:00:42.220 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
12:00:43.646 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 2.384 seconds (process running for 3.135)
12:00:43.671 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
12:00:43.712 [main] INFO  c.c.a.u.d.plus.CFDcioConfiguration.cfDataConnectIOPlusInfo   28 - CFDataConnectIOPlus version : 5.0.0.21
12:00:43.770 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  186 - >>>>>>>
12:00:43.770 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  188 -  
12:00:43.770 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  190 - SORTED TABLE (NO DUPLICATES)
12:00:43.770 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  192 -  
12:00:43.771 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0025672015092053I
12:00:43.771 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0027632020101177I
12:00:43.771 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0030622020042387I
12:00:43.771 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0054972019030592A
12:00:43.771 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0065022020051793I
12:00:43.771 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0075242016121666A
12:00:43.771 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0094172016021993I
12:00:43.772 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0097912015121213I
12:00:43.772 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0119502019122544I
12:00:43.772 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0127822015100277I
12:00:43.772 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0140422019061648I
12:00:43.772 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0157502017091963A
12:00:43.772 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0159012015042744A
12:00:43.773 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0162612017040986I
12:00:43.773 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0203212017101284I
12:00:43.773 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0217792020042227A
12:00:43.773 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0287692016071723A
12:00:43.773 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0308292020110580A
12:00:43.773 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0332942019120943I
12:00:43.774 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0342182018022713I
12:00:43.774 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0374302019081522A
12:00:43.774 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0410592018051978I
12:00:43.774 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0426552020091115A
12:00:43.774 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0444562015062283A
12:00:43.774 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0486692020081532I
12:00:43.774 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0510892015121316A
12:00:43.775 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0599682020091242A
12:00:43.775 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0608882017121390A
12:00:43.775 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0689132019110613I
12:00:43.775 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0751782016072749A
12:00:43.775 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0785262017021196I
12:00:43.775 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0818932019072457I
12:00:43.775 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0832132016042096A
12:00:43.776 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0835862016061425A
12:00:43.776 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0841602019082789A
12:00:43.776 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0890552020021948I
12:00:43.776 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0906912019061475I
12:00:43.776 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0911262019011098A
12:00:43.776 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0920552019081445I
12:00:43.776 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0921072016122082I
12:00:43.777 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0921632016041915I
12:00:43.777 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0954862017041668I
12:00:43.777 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0986752016030432I
12:00:43.777 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 0990292020020585A
12:00:43.777 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1014712016081492I
12:00:43.777 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1048072019102171A
12:00:43.777 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1081912015042752A
12:00:43.777 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1094532017111398I
12:00:43.778 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1135402019102856A
12:00:43.778 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1154352017030253A
12:00:43.778 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1156272020061519I
12:00:43.778 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1179982020112085I
12:00:43.778 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1187682015041399A
12:00:43.778 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1268012019101031A
12:00:43.778 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1318892018042449I
12:00:43.779 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1328902017042896I
12:00:43.779 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1344862016042179A
12:00:43.779 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1421072020010112A
12:00:43.780 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1435522015021076I
12:00:43.780 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1556032020121830A
12:00:43.780 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1556962018042599A
12:00:43.780 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1576102018041587I
12:00:43.780 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1576812020042320I
12:00:43.780 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1583742019020996A
12:00:43.780 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1591422017120114I
12:00:43.781 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1631962018081594I
12:00:43.781 [main] INFO  com.cloudframe.app.process.Sorttbl.mainlineSplit0  196 - 1651802015011885A
