06:54:23.854 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 3256338 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort15_207/CFSORT09/target/CFSORT09-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort15_207/CFSORT09)
06:54:23.863 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
06:54:26.179 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 3.382 seconds (process running for 4.462)
06:54:26.221 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
06:54:26.341 [main] INFO  c.c.a.u.d.plus.CFDcioConfiguration.cfDataConnectIOPlusInfo 28 - CFDataConnectIOPlus version : 5.0.0.21
06:54:27.115 [main] INFO  c.c.app.sort.SpringAsyncConfig.threadPoolTaskExecutor 73 - Thread pool created based on usableMemory 19090899937 requiredByteForEachThread 40000000 with core pool size 20 max pool size 40
06:54:27.128 [main] INFO  com.cloudframe.app.process.Cfsort09.mainline 241 - Start reading SORT TEMP INPUT file Information ...
06:54:27.263 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.decideSortStrategy 117 - Calculated details for strategy decider fileSize 59000 noOfRecords 1000 fileSizeWithOverHead 71000 keysSizeInBytes 20000 fileSizeWithKeysAndRecords71000
06:54:27.392 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.getStrategy 221 - Strategy to be adopted is IN_MEMORY
06:54:27.393 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.decideSortStrategy 124 - APPLYING INMEMORY STRATEGY
06:54:27.397 [main] INFO  com.cloudframe.app.process.Cfsort09.mainline 245 - Start process SORT using fetched SORT keys...
06:54:27.510 [main] INFO  com.cloudframe.app.process.Cfsort09.mainline 248 - Start process the sorted record to GIVING out file...
06:54:27.758 [main] INFO  com.cloudframe.app.process.Cfsort09.mainline 251 - SORT process using file strategy ends.
