07:54:59.518 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 3412922 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort15_207COMP/CFSORT09/target/CFSORT09-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort15_207COMP/CFSORT09)
07:54:59.525 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
07:55:02.135 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 3.955 seconds (process running for 5.176)
07:55:02.160 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
07:55:02.224 [main] INFO  c.c.a.u.d.plus.CFDcioConfiguration.cfDataConnectIOPlusInfo 28 - CFDataConnectIOPlus version : 5.0.0.21
07:55:03.051 [main] INFO  c.c.app.sort.SpringAsyncConfig.threadPoolTaskExecutor 73 - Thread pool created based on usableMemory 19090664420 requiredByteForEachThread 40000000 with core pool size 20 max pool size 40
07:55:03.059 [main] INFO  c.c.app.process.impl.Cfsort09Impl.mainline 307 - Start reading SORT TEMP INPUT file Information ...
07:55:03.171 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.decideSortStrategy 117 - Calculated details for strategy decider fileSize 59000 noOfRecords 1000 fileSizeWithOverHead 71000 keysSizeInBytes 20000 fileSizeWithKeysAndRecords71000
07:55:03.279 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.getStrategy 221 - Strategy to be adopted is IN_MEMORY
07:55:03.280 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.decideSortStrategy 124 - APPLYING INMEMORY STRATEGY
07:55:03.281 [main] INFO  c.c.app.process.impl.Cfsort09Impl.mainline 311 - Start process SORT using fetched SORT keys...
07:55:03.352 [main] INFO  c.c.app.process.impl.Cfsort09Impl.mainline 314 - Start process the sorted record to GIVING out file...
07:55:03.536 [main] INFO  c.c.app.process.impl.Cfsort09Impl.mainline 317 - SORT process using file strategy ends.
