08:27:24.602 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 4155340 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort15_207COMP4/CFSORT09/target/CFSORT09-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort_strategy/cfsort15_207COMP4/CFSORT09)
08:27:24.610 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
08:27:26.868 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 3.448 seconds (process running for 4.658)
08:27:26.888 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
08:27:26.954 [main] INFO  c.c.a.u.d.plus.CFDcioConfiguration.cfDataConnectIOPlusInfo 28 - CFDataConnectIOPlus version : 5.0.0.21
08:27:27.442 [main] INFO  c.c.app.sort.SpringAsyncConfig.threadPoolTaskExecutor 73 - Thread pool created based on usableMemory 19090898228 requiredByteForEachThread 40000000 with core pool size 20 max pool size 40
08:27:27.453 [main] INFO  com.cloudframe.app.process.Cfsort09.mainline 375 - Start reading SORT TEMP INPUT file Information ...
08:27:27.554 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.decideSortStrategy 117 - Calculated details for strategy decider fileSize 59000 noOfRecords 1000 fileSizeWithOverHead 71000 keysSizeInBytes 20000 fileSizeWithKeysAndRecords71000
08:27:27.659 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.getStrategy 221 - Strategy to be adopted is IN_MEMORY
08:27:27.659 [main] INFO  c.c.a.s.s.d.SortStrategyDeciderImpl.decideSortStrategy 124 - APPLYING INMEMORY STRATEGY
08:27:27.661 [main] INFO  com.cloudframe.app.process.Cfsort09.mainline 379 - Start process SORT using fetched SORT keys...
08:27:27.729 [main] INFO  com.cloudframe.app.process.Cfsort09.mainline 382 - Start process the sorted record to GIVING out file...
08:27:27.874 [main] INFO  com.cloudframe.app.process.Cfsort09.mainline 385 - SORT process using file strategy ends.
