10:01:44.473 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1577643 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/vsam/seekByAix-vsammon4/VSAMMON4/target/VSAMMON4-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/vsam/seekByAix-vsammon4/VSAMMON4)
10:01:44.483 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
10:01:47.576 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus  165 - CFDataSourceConfiguration initialization status...
10:01:47.579 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus  172 - VSAM Datasource initialized. Databse Datasource initialized.
10:01:47.917 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 4.474 seconds (process running for 5.455)
10:01:47.940 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
10:01:48.245 [main] INFO  c.c.app.vsam.VSAMClusterUtil.getClusterInfo   66 - Cluster for DD VSVKSDSO in VSAMMON4 is VSVKSDS_VSAMMON4 
10:01:48.500 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection  109 - HikariPool-1 - Starting...
10:01:48.881 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast  554 - HikariPool-1 - Added connection conn0: url=jdbc:h2:file:./cf-vsam-db user=SA
10:01:48.885 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection  122 - HikariPool-1 - Start completed.
10:01:49.402 [main] INFO  c.c.app.vsam.VSAMClusterUtil.getClusterInfo   66 - Cluster for DD VSVKSDSB in VSAMMON4 is VSVKSDS_VSAMMON4 
10:01:49.489 [main] INFO  c.c.app.vsam.VSAMClusterUtil.getClusterInfo   66 - Cluster for DD VSVKSDSI in VSAMMON4 is VSVKSDS_VSAMMON4 
10:01:49.510 [main] INFO  c.c.app.vsam.VSAMClusterUtil.getClusterInfo   66 - Cluster for DD VSVKSDSI in VSAMMON4 is VSVKSDS_VSAMMON4 
10:01:49.538 [main] INFO  c.c.app.vsam.VSAMClusterUtil.getClusterInfo   66 - Cluster for DD VSVKSDSI in VSAMMON4 is VSVKSDS_VSAMMON4 
10:01:49.669 [main] INFO  c.c.app.vsam.VSAMClusterUtil.getClusterInfo   66 - Cluster for DD VSVKSDSB in VSAMMON4 is VSVKSDS_VSAMMON4 
10:01:49.792 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close  349 - HikariPool-1 - Shutdown initiated...
10:01:49.799 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close  351 - HikariPool-1 - Shutdown completed.
