10:08:21.309 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1605881 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/xml/xmlpars2/XMLPARS2/target/XMLPARS2-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/xml/xmlpars2/XMLPARS2)
10:08:21.314 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
10:08:23.098 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 2.811 seconds (process running for 3.714)
10:08:23.116 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
10:08:23.223 [main] INFO  com.cloudframe.app.process.Xmlpars2.mainline   82 - *----------------------------------*
10:08:23.259 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: EDR_CPF
10:08:23.260 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: CLIENT_ID
10:08:23.261 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: VISION
10:08:23.262 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: CLIENT_ID
10:08:23.262 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.263 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TR_COUNT
10:08:23.263 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: 1
10:08:23.264 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TR_COUNT
10:08:23.264 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.265 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: BILLING_SYSTEM_ID
10:08:23.265 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: 2
10:08:23.266 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: BILLING_SYSTEM_ID
10:08:23.266 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.267 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TRAN_ID
10:08:23.267 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: 20180130052423461412
10:08:23.268 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TRAN_ID
10:08:23.268 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.269 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: REFRESH
10:08:23.269 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TR_POPKEY
10:08:23.270 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TR_TYPE
10:08:23.270 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: REFRESH
10:08:23.271 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TR_TYPE
10:08:23.271 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.271 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TR_TIME
10:08:23.272 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: 2018-01-30-05.24.15.503368
10:08:23.272 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TR_TIME
10:08:23.273 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.273 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TR_FULFILLMENT_TIME
10:08:23.273 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: 2018-01-30-05.24.15.503368
10:08:23.274 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TR_FULFILLMENT_TIME
10:08:23.274 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.275 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TR_MDN
10:08:23.275 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: 7024193433
10:08:23.276 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TR_MDN
10:08:23.276 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.276 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TR_ACCOUNT_NUMBER
10:08:23.277 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: 0
10:08:23.277 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TR_ACCOUNT_NUMBER
10:08:23.278 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.278 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  138 - Element Name.....: TR_CUSTOMER_ID
10:08:23.279 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  146 - Element Content..: 203082888
10:08:23.279 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TR_CUSTOMER_ID
10:08:23.279 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.280 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: TR_POPKEY
10:08:23.280 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.281 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: REFRESH
10:08:23.281 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.282 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  154 - End of Element...: EDR_CPF
10:08:23.283 [main] INFO  com.cloudframe.app.process.Xmlpars2.parseXml  156 - *----------------------------------*
10:08:23.283 [main] INFO  com.cloudframe.app.process.Xmlpars2.mainline   95 -  
10:08:23.283 [main] INFO  com.cloudframe.app.process.Xmlpars2.mainline   97 - XML Response:
10:08:23.284 [main] INFO  com.cloudframe.app.process.Xmlpars2.mainline   99 -  
